Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:42:21,2018-11-22 09:42:22,1.007s,PASSED
setText,Firefox 63.0,,2018-11-22 09:42:22,2018-11-22 09:42:22,0.842s,PASSED
delay,Firefox 63.0,,2018-11-22 09:42:22,2018-11-22 09:42:24,2.002s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:42:24,2018-11-22 09:42:25,0.934s,PASSED
,,,,,,
Test Cases/Sections/Border,Firefox 63.0,,2018-11-22 09:42:25,2018-11-22 09:42:31,5.623s,PASSED
com.powerbi.components.ChartSelect.EnableSetting,Firefox 63.0,,2018-11-22 09:42:26,2018-11-22 09:42:28,2.031s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:42:28,2018-11-22 09:42:29,1.216s,PASSED
click,Firefox 63.0,,2018-11-22 09:42:29,2018-11-22 09:42:30,1.528s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:42:30,2018-11-22 09:42:31,0.545s,PASSED
,,,,,,
Test Cases/Sections/Visual header,Firefox 63.0,,2018-11-22 09:42:31,2018-11-22 09:42:39,7.867s,PASSED
com.powerbi.components.ChartSelect.EnableSetting,Firefox 63.0,,2018-11-22 09:42:31,2018-11-22 09:42:33,1.525s,PASSED
delay,Firefox 63.0,,2018-11-22 09:42:33,2018-11-22 09:42:35,2.003s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:42:35,2018-11-22 09:42:36,0.766s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:42:36,2018-11-22 09:42:36,0.870s,PASSED
setText,Firefox 63.0,,2018-11-22 09:42:36,2018-11-22 09:42:37,0.313s,PASSED
com.powerbi.components.ChartSelect.changeSlider,Firefox 63.0,,2018-11-22 09:42:37,2018-11-22 09:42:37,0.109s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:42:37,2018-11-22 09:42:38,1.075s,PASSED
click,Firefox 63.0,,2018-11-22 09:42:38,2018-11-22 09:42:38,0.476s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:42:38,2018-11-22 09:42:39,0.418s,PASSED
